label;Scientific Name;Common Name(s);filename_low;filename_high
1;Phyllostachys edulis (Carr.) Houz.;pubescent bamboo;1001;1059
2;Aesculus chinensis;Chinese horse chestnut;1060;1122
3;Berberis anhweiensis Ahrendt;Anhui Barberry;1552;1616
4;Cercis chinensis;Chinese redbud;1123;1194
5;Indigofera tinctoria L.;true indigo;1195;1267
6;Acer Palmatum;Japanese maple;1268;1323
7;Phoebe nanmu (Oliv.);Gamble Nanmu;1324;1385
8;Kalopanax septemlobus (Thunb. ex A.Murr.) Koidz.;castor aralia;1386;1437
9;Cinnamomum japonicum Sieb.;Chinese cinnamon;1497;1551
10;Koelreuteria paniculata Laxm.;goldenrain tree;1438;1496
11;Ilex macrocarpa Oliv.;Big fruited Holly;2001;2050
12;Pittosporum tobira (Thunb.) Ait. f.;Japanese cheesewood;2051;2113
14;Chimonanthus praecox L.;wintersweet;2114;2165
15;Cinnamomum camphora (L.) J. Presl;camphortree;2166;2230
16;Viburnum awabuki K.Koch;Japan Arrowwood;2231;2290
17;Osmanthus fragrans Lour.;sweet osmanthus;2291;2346
18;Cedrus deodara (Roxb.) G. Don;deodar;2347;2423
19;Ginkgo biloba L.	ginkgo;maidenhair tree;2424;2485
20;Lagerstroemia indica (L.) Pers.Crape myrtle;Crepe myrtle;2486;2546
21;Nerium oleander L.;oleander;2547;2612
22;Podocarpus macrophyllus (Thunb.);Sweet yew plum pine;2616;2675
23;Prunus serrulata Lindl. var. lannesiana auct.;Japanese Flowering Cherry;3001;3055
24;Ligustrum lucidum Ait. f.;Glossy Privet;3056;3110
25;Tonna sinensis M. Roem.;Chinese Toon;3111;3175
26;Prunus persica (L.) Batsch;peach;3176;3229
27;Manglietia fordiana Oliv.;Ford Woodlotus;3230;3281
28;Acer buergerianum Miq.;trident maple;3282;3334
29;Mahonia bealei (Fortune) Carr.;Beale's barberry;3335;3389
30;Magnolia grandiflora L.;southern magnolia;3390;3446
31;Populus ×canadensis Moench;Canadian poplar;3447;3510
32;Liriodendron chinense (Hemsl.) Sarg.;Chinese tulip tree;3511;3563
